text,user
"b""#BlackLivesMatter must disband. George Soros's terrorist cult is over. https://t.co/InoM6ajjr9""",CannotStump
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',Marqiveli
b'RT @jv_flyy: Listen to Switch Up (B.L.M) by JV Flyy #np on #SoundCloud #BlackLivesMatter\nhttps://t.co/C0HzEFtSKD',Baran95724491
b'RT @masterwilliams: Currently in Georgetown DC. M street shutdown. #BlackLivesMatter protest. https://t.co/dRevpRuUOM',TRCof1900
"b'RT @roubacee_: #blacklivesmatter ""a handwritten mural"" by @RendaWriter https://t.co/KmOMfoVoQU'",queenillmatic
"b""Some people are being a bit moody at @benandjerrys over their support of #BlackLivesMatter. \n\nS'ok. \n\nI CAN EAT THE PINT ALL 1K WON'T EAT""",1c75a
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',GlazedMelanin
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',xVixenCurlsx
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',2Ddangerously
b'RT @benandjerrys: Is systemic racism a thing? It sure is and these stats prove it &gt;&gt; https://t.co/IrkJyIJ2nW #BlackLivesMatter https://t.co\xe2\x80\xa6',CherylLynnMoore
b'RT @masterwilliams: Currently in Georgetown DC. M street shutdown. #BlackLivesMatter protest. https://t.co/dRevpRuUOM',_BahamaYAMA
b'RT @LucidHurricane_: Nobody is #MoreElectableThanTrump for the AA community \n#BlackLivesMatter to @realDonaldTrump https://t.co/tbpcVjonZ1',MissKittyfromVa
b'RT @benandjerrys: Is systemic racism a thing? It sure is and these stats prove it &gt;&gt; https://t.co/IrkJyIJ2nW #BlackLivesMatter https://t.co\xe2\x80\xa6',JanaeK_wjps
b'RT @masterwilliams: Currently in Georgetown DC. M street shutdown. #BlackLivesMatter protest. https://t.co/dRevpRuUOM',_GoGoJunior
b'RT @CoolGuySomar: The members of the #NCAT Blue and Gold Marching Machine stand with #BlackLivesMatter https://t.co/tjPamoyVkl',taaylee_
"b'RT @ShaunKing: Dear Harvey Weinstein,\n\nWhat did you mean in this email to Hillary about ""silencing"" #BlackLivesMatter?\n\nhttps://t.co/JhCHSI\xe2\x80\xa6'",SpiritOfHope_
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',GiedzinskiJ
b'Listen to Switch Up (B.L.M) by JV Flyy #np on #SoundCloud #BlackLivesMatter\nhttps://t.co/C0HzEFtSKD',jv_flyy
"b""@Khanoisseur I've seen the #Trump future...\n\n#Debates\n#BlackLivesMatter\n@rabiasquared https://t.co/bqCLd2id0Y""",fakeconsultant
b'RT @snazzy__yazzy: Y$ x BUMA x #BlackLivesMatter \nSo happy my first time painting the rock was a success \xf0\x9f\x8e\xa8 https://t.co/m0KRrKjIPa',TayLoe_Joe
"b'#BLACKLIVESMATTER | Eminem Legendary Rapper, Eminem some recognize as GOAT. https://t.co/YuqN4M7Eli | #IG NAMUHSTRADAMUS'",RASHARDNAMUH
b'RT @Crystal1Johnson: Autopsy finds Tyre King was shot in the back three times. Cops felt threatened by a 13-years-old Black boy running awa\xe2\x80\xa6',BruceF03
b'\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80The vibrator though\xf0\x9f\x91\xbd\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #blacklivesmatter #BirthOfANation #BlackTwitter #HurricaneMatthew #clones #mediatakeout https://t.co/hJkeEeGBKs',WMCMOEE
"b""RT @ajplus: Race had everything to do with the U.S. military's secret chemical experiments. #BlackLivesMatter https://t.co/uDccbrK1YP""",nicolebarno
b'RT @lynique15: People love it when shit stays under the rug...when the elephant in the room stays unnoticed #wewontbesilent #blacklivesmatt\xe2\x80\xa6',Smile_Shari
"b'RT @ShaunKing: Dear Harvey Weinstein,\n\nWhat did you mean in this email to Hillary about ""silencing"" #BlackLivesMatter?\n\nhttps://t.co/JhCHSI\xe2\x80\xa6'",DuncanChesley
"b""RT @BIGNOAH256: You've earned my business @benandjerrys and I'm lactose. #BlackLivesMatter https://t.co/iFlzILSPk7""",_Jackssson
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',modproductionz
b'RT @makaylaathomass: just listen. #blacklivesmatter https://t.co/3XN2IhHOm8',vavavanessaa
"b""RT @ArielFoxman: Today, tmrw, this week: watch @AVAETC @13THFilm on @Netflix. It's brilliant, eye-opening &amp; most of all, critical viewing.\xe2\x80\xa6""",Deborahschild
b'RT @beytrash: 10) when she stopped her show and did a tribute for the victims lost to police brutality #BlackLivesMatter\xe2\x9c\x8a\xf0\x9f\x8f\xbd\xe2\x9c\x8a\xf0\x9f\x8f\xbe\xe2\x9c\x8a\xf0\x9f\x8f\xbf https://t.co\xe2\x80\xa6',QuotesBrovaa
"b""RT @hectormorenco: Obama's legacy.\n\nMASS SHOOTINGS: \nReagan = 11 \nBush Sr. = 12 \nClinton = 23 \nBush Jr. = 16 \nObama = 165 \n\n#Obama \n#BlackL\xe2\x80\xa6""",pheiden
"b""@Raffi_RC Say, Isn't modern Jesus a proponent of #BlackLivesMatter too? And what exactly is his ethnic and racial origin anyway?""",RCIisLeaking
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',sewsexual
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',PartidaYukio
b'RT @KINGCHRXS: Kalief Browder. He was 22 years old. #13TH #BlackLivesMatter https://t.co/JqITOBChrW',katylied67
b'RT @CelebsInHS: -psycho\n-keys all her ex boyfriends cars\n-supports #BlackLivesMatter but locks car door when a black person walks by https:\xe2\x80\xa6',courtneyjahenry
"b'RT @livvycamara: And when people say ""why do black people have a #blacklivesmatter what about all lives?!?!!!!"" That\'s when I lose respect\xe2\x80\xa6'",nikki_estreba
b'The Supremes #blacklivesmatter #noMSG #newyorkcity djdawsonnyc @mynameisq #DAWsDOT @ Soho House\xe2\x80\xa6 https://t.co/MqIGqGtEkt',sdotjohn
"b'Massive #Corruption with #Chicago #Police Department, Worth Reading - #blacklivesmatter #Donaldtrump #HillaryClinton https://t.co/BeNlpWQvYu'",Gil_Don
b'RT @CelebsInHS: -psycho\n-keys all her ex boyfriends cars\n-supports #BlackLivesMatter but locks car door when a black person walks by https:\xe2\x80\xa6',xbrfxck
"b'RT @ShaunKing: Dear Harvey Weinstein,\n\nWhat did you mean in this email to Hillary about ""silencing"" #BlackLivesMatter?\n\nhttps://t.co/JhCHSI\xe2\x80\xa6'",AlexPeresviet
"b""TRUMP'S A SICK PERVERT HE NEEDS HELP Call 855-878-6700 Overload the phones Empty his hotels  #BlackLivesMatter\xe2\x80\xa6 https://t.co/dvGPrOPDEt""",ogkeyser
b'RT @txindyjourno: .@GFColeman announces intention to introduce the #SandraBland Act: https://t.co/xFFVZiv0iR via @BOR #txlege #BlackLivesMa\xe2\x80\xa6',nebulouswonder
"b'RT @ShaunKing: Dear Harvey Weinstein,\n\nWhat did you mean in this email to Hillary about ""silencing"" #BlackLivesMatter?\n\nhttps://t.co/JhCHSI\xe2\x80\xa6'",desilee49
"b'RT @ShaunKing: Dear Harvey Weinstein,\n\nWhat did you mean in this email to Hillary about ""silencing"" #BlackLivesMatter?\n\nhttps://t.co/JhCHSI\xe2\x80\xa6'",668GuerrillaMan
b'MUST WATCH:\nWhen people say #BlackLivesMatter do they really mean it? What are the hidden agendas behind it? Does... https://t.co/LrFw3ivWIs',SpartanWK
b'RT @Crystal1Johnson: Autopsy finds Tyre King was shot in the back three times. Cops felt threatened by a 13-years-old Black boy running awa\xe2\x80\xa6',_SixxGod
"b""@_kandiii it's time to get vocal!!! I've been inspired today!!! #birthofanation #aseatatthetable #blacklivesmatter""",lynique15
"b""RT @UnstrippedVoice: CNN should've never put this man on TV, cause he kept it TOO real...\n#BlackLivesMatter https://t.co/R9fh53tkWg""",b_nas22
b'RT @Crystal1Johnson: Autopsy finds Tyre King was shot in the back three times. Cops felt threatened by a 13-years-old Black boy running awa\xe2\x80\xa6',ulove_dev
b'@BlackToLive I can twist every story into one sign &amp; make it a big blob of nonsense too! Is everyone supporting #blacklivesmatter challenged',HashtagthisOk
b'RT @cd5762: #BlackLivesMatter\n#TrumpDropOUT\n#TrumpTapes\nDonald Trump\xe2\x80\x99s unbelievable 2016 statement about the Central Park 5\nhttps://t.co/sH\xe2\x80\xa6',lbutlr
b'RT @ProtestPics: This girl basically put my feelings about #BlackLivesMatter\xc2\xa0in words in under two minutes.\nRetweet to educate people https\xe2\x80\xa6',naannncccyy
b'Yoooooooo #LukeCage Is The Truthhhhhhh #BlackLivesMatter',NeraJayy
b'Shame on You .@GOP \nWe deserve better. \n#VoteBlueNoMatterWho #ImWithHer\n#HispanicHeritageMonth \n#BlackLivesMatter https://t.co/FJS6Flc6kJ',TucsonVoice28
"b'RT @PgThaliaa: "" #BlackLivesMatter \xf0\x9f\x92\x97 #SaintPabloTour wise words from @kanyewest \xe2\x9c\xa8 "" https://t.co/dGcZGciZXN'",PgThaliaa
"b'RT @ShaunKing: Dear Harvey Weinstein,\n\nWhat did you mean in this email to Hillary about ""silencing"" #BlackLivesMatter?\n\nhttps://t.co/JhCHSI\xe2\x80\xa6'",monicaestill
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',giseller0bles
b'MAKE HISTORY Call Trump 855-878-6700 Overload the phones Empty his hotels  #BlackLivesMatter #ThatMexicanThing\xe2\x80\xa6 https://t.co/WNsMFCkmuS',ogkeyser
b'RT @Crystal1Johnson: Autopsy finds Tyre King was shot in the back three times. Cops felt threatened by a 13-years-old Black boy running awa\xe2\x80\xa6',amonirose
"b'RT @ShaunKing: Dear Harvey Weinstein,\n\nWhat did you mean in this email to Hillary about ""silencing"" #BlackLivesMatter?\n\nhttps://t.co/JhCHSI\xe2\x80\xa6'",gnoh_sandra
b'RT @benandjerrys: Is systemic racism a thing? It sure is and these stats prove it &gt;&gt; https://t.co/IrkJyIJ2nW #BlackLivesMatter https://t.co\xe2\x80\xa6',YuckDuck
b'RT @rico782: @CharlemagSteak @yaronbrook \nLike Jews that support #Israel?\nor #BlackLivesMatter?',dagrimreefah1
b'RT @txindyjourno: .@GFColeman announces intention to introduce the #SandraBland Act: https://t.co/xFFVZiv0iR via @BOR #txlege #BlackLivesMa\xe2\x80\xa6',HannahABonner
"b'RT @ShaunKing: Dear Harvey Weinstein,\n\nWhat did you mean in this email to Hillary about ""silencing"" #BlackLivesMatter?\n\nhttps://t.co/JhCHSI\xe2\x80\xa6'",DesignerDeb3
b'#BlackLivesMatter #KeithLamontScott\n\nRead\nhttps://t.co/nmMYgSFUTd\n\nShe WantedThis Vid BANNED\xe2\x80\xa6 https://t.co/8K4sUiqCU1',HiIlary4Prison
b'RT @CoolGuySomar: The members of the #NCAT Blue and Gold Marching Machine stand with #BlackLivesMatter https://t.co/tjPamoyVkl',xKaylaa__
b'Ayo go buy #benandjerrys #blacklivesmatter they get it!!! \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf',PYT_smile
b'RT @ajplus: Ice cream pals @BenandJerrys publicly stand with the #blacklivesmatter movement.\n\nSo Twitter offered suggestions for #BenAndJer\xe2\x80\xa6',Ktc8dog
"b'@HarveyWeinstein So silence @BernieSanders @HillaryClinton #blacklivesmatter, huh? #KaliefBrowder, huh? Yeah, OK..........'",DonMcKenzie
"b'RT @ShaunKing: Dear Harvey Weinstein,\n\nWhat did you mean in this email to Hillary about ""silencing"" #BlackLivesMatter?\n\nhttps://t.co/JhCHSI\xe2\x80\xa6'",kkkkel
b'@theintercept @the_intercept \n\n#Lol. Ideas Are Bulletproof\n\nT.I. - Warzone \nhttps://t.co/ILDOvYyo2N via #BlackLivesMatter',Afrofuturism
"b""RT @Bashore101: #ImVoting4JillBecause I'm a college student that cares about my future, #BlackLivesMatter, future Americans, and the air I\xe2\x80\xa6""",IsotopeC14
b'RT @CoolGuySomar: The members of the #NCAT Blue and Gold Marching Machine stand with #BlackLivesMatter https://t.co/tjPamoyVkl',ChickOfBeauty
b'BOYCOTT TRUMP  Call 855-878-6700 Overload the phones Empty his hotels  #BlackLivesMatter #ThatMexicanThing #Actup\xe2\x80\xa6 https://t.co/1r3M2oEZ8X',ogkeyser
b'RT @Only1Perseus: This girl basically put my feelings about #BlackLivesMatter in words in under two minutes.\nRetweet to educate people http\xe2\x80\xa6',YourDOPESTkidd
b'RT @buytheblkbox: #FBF truth via @DrUmarJohnson \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf #BuyBlack #BlackLivesMatter #BenAndJerrysNewFlavor #BenAndJerrys https://t.co/utNVtpcakN',PYT_smile
b'RT @Crystal1Johnson: Autopsy finds Tyre King was shot in the back three times. Cops felt threatened by a 13-years-old Black boy running awa\xe2\x80\xa6',AdrianRob_
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',YuckDuck
b'RT @manuika22: @elle_maalaea IM HERE FOR THIS. \xf0\x9f\x99\x8b\xf0\x9f\x8f\xbf #blacklivesmatter',elle_maalaea
"b""RT @DrJillStein: Police brutality has been publicized thanks to modern technology. Now that we see it, let's end it. #BlackLivesMatter http\xe2\x80\xa6""",Amorosounds
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',uuhnyia
b'RT @httpzouwee: spot on #blacklivesmatter https://t.co/OuSyA6fbFl',AnfernyGiraldo
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',Summers_19
"b""RT @Bashore101: #ImVoting4JillBecause I'm a college student that cares about my future, #BlackLivesMatter, future Americans, and the air I\xe2\x80\xa6""",humpbernsteinjr
b'RT @CapitalMoments: Ice cream firm @BenandJerrys publicly stand with the #blacklivesmatter\xc2\xa0 movement.\n\nSo Twitter offered suggestions for #\xe2\x80\xa6',AngelMonroe_
"b""@RealTimBlack Elite's Election drama takes energy away from #BlackLivesMatter IMO the continued execution of Black\xe2\x80\xa6 https://t.co/hDDfYVHPsi""",CatchlightAnne
b'#BlackLivesMatter #KeithLamontScott\n\nWATCH Hl!lLLARY CLl!NT0N ATTACK A BLACK VOTER\nhttps://t.co/doLIDDaVcf\n\nDo NOT\xe2\x80\xa6 https://t.co/h1HLmUyavR',HiIlary4Prison
"b""RT @SALea82: In honor of them being an upstanding company I'm gonna grab a tub. #blacklivesmatter #neversilent #benandjerry https://t.co/eb\xe2\x80\xa6""",PYT_smile
"b""RT @Bernlennials: .@HarveyWeinstein Urged Clinton Campaign to Silence @BernieSanders' #BlackLivesMatter Message https://t.co/kC2v49jRg0 #po\xe2\x80\xa6""",plasterofparris
"b'RT @whoissizzIe: This is interesting ... White man speaks on #BlackLivesMatter ... If you asks me, he sounds like a ""thug"" himself \xf0\x9f\xa4\x94 https:\xe2\x80\xa6'",PettyLeSmiff
"b""TRUMP ES UN  RACISTA \xe2\x80\x94He's a flat out racist Call 855-878-6700 Overload the phones Empty his hotels\xe2\x80\xa6 https://t.co/qdQ56SfAVM""",ogkeyser
b'RT @benandjerrys: Is systemic racism a thing? It sure is and these stats prove it &gt;&gt; https://t.co/IrkJyIJ2nW #BlackLivesMatter https://t.co\xe2\x80\xa6',LittleMounce18
b'RT @wizHether: Why is Bill Cosby held accountable and not Bill Clinton? I smell racism. #BillClintonIsARapist #BlackLivesMatter',OpinionOnion7
b'RT @masterwilliams: Currently in Georgetown DC. M street shutdown. #BlackLivesMatter protest. https://t.co/dRevpRuUOM',JapaneseL0ver
b'RT @Crystal1Johnson: Autopsy finds Tyre King was shot in the back three times. Cops felt threatened by a 13-years-old Black boy running awa\xe2\x80\xa6',tonitoneeee
b'RT @Crystal1Johnson: Autopsy finds Tyre King was shot in the back three times. Cops felt threatened by a 13-years-old Black boy running awa\xe2\x80\xa6',itsjayyyy__
b'RT @JoseWoss: #BlackLivesMatter: for centuries they have NOT! MT @TWEETDonEMM: Just gone leave this here. If u smart ull watch. https://t.c\xe2\x80\xa6',BlxBarbie
"b""RT @simpingNpimping: Don't Touch My Hair - @solangeknowles X I Am Not My Hair - @indiaarie \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe #ASeatAtTheTable #blacklivesmatter https://t.\xe2\x80\xa6""",infatuatedlife
b'RT @TheDMVDaily: Major shoutout to @benandjerrys for this #BlackLivesMatter https://t.co/gpkIpfULcr',loketodmv
b'Once #Obama Goes #AfricanAmericans Consigned to Dustbin of History https://t.co/6Dc2Oe94rx #blacklivesmatter #blm https://t.co/PJ1TEszzAp',TheBaron777
"b""BEN &amp; JERRY'S MATTER \xe2\x9c\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x8d\xa6 #blacklivesmatter https://t.co/s57tiDV0vG""",walterwbrady
"b""Harvey Weinstein urged Clinton campaign to silence Sanders's #BlackLivesMatter message https://t.co/IqluLE4ANW by @ZaidJilani""",ARTSYJUDITH
b'I\xe2\x80\x99m off to buy ice cream in support. Ben &amp; Jerry\xe2\x80\x99s Support #BlackLivesMatter; Boycott Ensues https://t.co/8hrWI0V5Il',iampariah
b'@DiamondandSilk @NatShupe 900 dead cause they were living in tents cause #CrookedClintons stole the quake money?\nDo THOSE #BlackLivesMatter?',VanHawk80
"b'How #brands create #socialimpact! @benandjerrys support for #BlackLivesMatter, also props to @Unilever &amp; @keithweed https://t.co/Zc48YbcLwS'",smacknamara
"b""RT @simpingNpimping: Don't Touch My Hair - @solangeknowles X I Am Not My Hair - @indiaarie \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe #ASeatAtTheTable #blacklivesmatter https://t.\xe2\x80\xa6""",BothBrained2
"b""Harvey Weinstein urged to silence Sanders's #BlackLivesMatter message https://t.co/G0hcD8PyCt by @ZaidJilani""",myrtlequillamor
"b'RT @ShaunKing: Dear Harvey Weinstein,\n\nWhat did you mean in this email to Hillary about ""silencing"" #BlackLivesMatter?\n\nhttps://t.co/JhCHSI\xe2\x80\xa6'",MOMS4TRUMP
b'RT @cd5762: #BlackLivesMatter\n#TrumpDropOUT\n#TrumpTapes\nDonald Trump\xe2\x80\x99s unbelievable 2016 statement about the Central Park 5\nhttps://t.co/sH\xe2\x80\xa6',Bsick88
b'RT @trueblacknews: French Cartoon makes statement the entire world knows US Police target Black people for death #Blacklivesmatter https://\xe2\x80\xa6',drlizterine
"b""RT @Bashore101: #ImVoting4JillBecause I'm a college student that cares about my future, #BlackLivesMatter, future Americans, and the air I\xe2\x80\xa6""",LovelyLowEnd
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',ActuallyHB
"b'October 09, 2016 at 02:00AM NFLNetwork tell #NFL #HireBlackCoaches #BlackLivesMatter : https://t.co/LjSXwNugY1'",SanFranMediaPR
b'#BlackLivesMatter is extremely racist! #AllLivesMatter https://t.co/AS5TXLfpCh',AssistedCareDFW
b'RT @BaeconLovah: In honor of #BlackLivesMatter \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf https://t.co/xaaU3IWCez',stfujesss
b'@elle_maalaea IM HERE FOR THIS. \xf0\x9f\x99\x8b\xf0\x9f\x8f\xbf #blacklivesmatter',manuika22
b'Stop DEVIL Worshipping!!! #IUIC #IsraelUnitedInChrist #NativeAmerican #Hispanic #BlackLivesMatter #Halloween #wakeup https://t.co/XqY224TEjG',dbeecham95
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',cheshirecassie
b'Participated in a peaceful protest today in support of the youth of Pasadena. It was beautiful to stand with them.\xe2\x80\xa6 https://t.co/GPxBtFmPuv',natalieispoetry
b'#BlackLivesMatter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6OKAJKvjM3 via @benandjerrys',dshaffer35
b'RT @makaylaathomass: just listen. #blacklivesmatter https://t.co/3XN2IhHOm8',annaheyen
"b'Watched @13THFilm w/my #Immigrant parents en espa\xc3\xb1ol.Had much needed conversation on #massincarceration, #blacklivesmatter &amp; #crimmigration'",adi_max07
b'RT @cd5762: #BlackLivesMatter\n#TrumpDropOUT\n#TrumpTapes\nDonald Trump\xe2\x80\x99s unbelievable 2016 statement about the Central Park 5\nhttps://t.co/sH\xe2\x80\xa6',rochshelly
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',Errrunnn
"b'""All lives won\'t matter until black lives matter."" Let\'s show our support for Ben &amp; Jerry\'s with record breaking sales. #BlackLivesMatter'",Krystyn777
"b'RT @BaDDie_ShaY: 2 police officers killed? Where is that #BlueLivesMatter Crew at \xf0\x9f\x91\x80, Oh they only come out when we say #blacklivesmatter \xf0\x9f\x99\x84'",Deuce_BiGGaPole
b'RT @Crystal1Johnson: Autopsy finds Tyre King was shot in the back three times. Cops felt threatened by a 13-years-old Black boy running awa\xe2\x80\xa6',_ac_kennedy
b'Kalief Browder. He was 22 years old. #13TH #BlackLivesMatter https://t.co/JqITOBChrW',KINGCHRXS
"b""RT @ajplus: Race had everything to do with the U.S. military's secret chemical experiments. #BlackLivesMatter https://t.co/uDccbrK1YP""",Akbari9669
b'RT @CoolGuySomar: The members of the #NCAT Blue and Gold Marching Machine stand with #BlackLivesMatter https://t.co/tjPamoyVkl',RickiBeatz
b'#BlackLivesMatter #KeithLamontScott\n\nSHE ATTACKS BLACK PEOPLE:\nhttps://t.co/ls4VEQmSJY\n\nSHE ATTACKS A BLACK VOTER:\xe2\x80\xa6 https://t.co/UsCDA4aXrP',HiIlary4Prison
"b""RT @OchoBoomin: #BlackLivesMatter got you Lil bro because I don't see All Lives Matter rallying for you. This is ridiculous. https://t.co/D\xe2\x80\xa6""",ALEXIAlSRATCHET
"b""HOLD TRUMP'S FEET TO THE FIRE Call 855-878-6700 Overload the phones Empty his hotels #ThatMexicanThing\xe2\x80\xa6 https://t.co/0BqB1S9MsJ""",ogkeyser
"b'LITERALLY 0.000001% of all Black that encounter the police die a year, which is a TINY number. So fuck #BlackLivesMatter?!'",StrawLivesMattr
b'It must be said that #blacklivesmatter is a #humanrights movement',5TILT
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',SIDETOSIDEAFI
"b""RT @ArielFoxman: Today, tmrw, this week: watch @AVAETC @13THFilm on @Netflix. It's brilliant, eye-opening &amp; most of all, critical viewing.\xe2\x80\xa6""",netminnow
b'RT @CoolGuySomar: The members of the #NCAT Blue and Gold Marching Machine stand with #BlackLivesMatter https://t.co/tjPamoyVkl',brittneyyyyyy_
"b'RT @ShaunKing: Dear Harvey Weinstein,\n\nWhat did you mean in this email to Hillary about ""silencing"" #BlackLivesMatter?\n\nhttps://t.co/JhCHSI\xe2\x80\xa6'",6peasInTheirPod
"b""RT @ArielFoxman: Today, tmrw, this week: watch @AVAETC @13THFilm on @Netflix. It's brilliant, eye-opening &amp; most of all, critical viewing.\xe2\x80\xa6""",CampbellEricaR
b'RT @MrArvinger: The passion that @BIGKRIT spoke with make me shake. Thank you! #BlackLivesMatter #BETHipHopAwards https://t.co/SiWRa72JQj',jayxmilllz
b'RT @CelebsInHS: -psycho\n-keys all her ex boyfriends cars\n-supports #BlackLivesMatter but locks car door when a black person walks by https:\xe2\x80\xa6',LEVY_MO_III
b'RT @masterwilliams: Currently in Georgetown DC. M street shutdown. #BlackLivesMatter protest. https://t.co/dRevpRuUOM',hitmanique
b'RT @benandjerrys: Is systemic racism a thing? It sure is and these stats prove it &gt;&gt; https://t.co/IrkJyIJ2nW #BlackLivesMatter https://t.co\xe2\x80\xa6',Rahal_Desta
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',brotank_niall
b'#Predator Trump must be stopped  Call 855-878-6700 Overload the phones Empty his hotels #ThatMexicanThing\xe2\x80\xa6 https://t.co/CNLS0eos5V',ogkeyser
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',Rahal_Desta
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',niallthepumpkin
